IncidentDate,Time,MGRS,Latitude,Longitude,Admin0,Admin1,Admin2,Explosion?,ExplosionType,Attacks?,IncidentType,GroupInitiating,Targets,IncidentCategory,Description,DeathCount,InjuredCount,CivilianInjuries?,Within5km?,Source,ConflictOrCrimeOriented,Notes
2024-11-25,,37PCN7981715115,10.9902,37.9,Amhara,,East Gojam,No,,Yes,Ambush,FANO & ENDF,FANO & ENDF,Miscellaneous,"On Nov 25, 2024 Fano rebels launched a sudden attack on government security forces in Arati, Hulet Ej Enese Woreda, East Gojjam Zone, resulting in multiple fatalities and injuries among government forces.",YES,Yes,No,No,PLSO,Conflict Oriented,
2024-11-25,,37PEP6963938830,12.1103,39.64,Amhara,,North Wollo,No,,Yes,Ambush,FANO & ENDF,FANO & ENDF,Miscellaneous,"On Nov 25, 2024 Fano militants ambushed government security forces near Tekulesh in the Raya Kobo Woreda, North Wollo Zone, resulting in casualties, including fatalities and injuries.",YES,YES,No,No,PLSO,Conflict Oriented,
2024-11-25,,37PDP1190353254,12.2403,38.19,Amhara,,South Gonder,No,,Yes,Ambush,FANO & ENDF,FANO & ENDF,Miscellaneous,"On Nov 25, 2024 Fano insurgents attacked a government checkpoint in Ebinat town, Ebinat Woreda, South Gondar Zone.",NO,0,No,No,PLSO,Conflict Oriented,
2024-11-25,,37PCN2547067346,11.4602,37.4,Amhara,,West Gojam,No,,Yes,Assasination,UAG,Government Officials,Miscellaneous,"On Nov 25, 2024 Heavy gunfire erupted in the Kotetina area of Bahir Dar. During the incident, the Manager and Chairman of Marzeneb Kebele were assassinated.",YES,YES,No,No,PLSO,Conflict Oriented,
2024-11-25,,37PCP2172272462,12.4102,37.36,Amhara,,Central Gonder,Yes,,Yes,Battle,FANO & ENDF,FANO & ENDF,Explosives/Remote Violence,"On Nov 25, 2024 Fano insurgents attacked a military camp in Robit town, Dembiya Woreda, Central Gondar Zone.",NO,0,No,No,PLSO,Conflict Oriented,
2024-11-25,,37PCP4671070106,12.3902,37.5899,Amhara,,Central Gonder,Yes,,Yes,Battle,FANO & ENDF,FANO & ENDF,Explosives/Remote Violence,"On Nov 25, 2024 Heavy gunfire erupted on the night of November 25 in Teda Sub-City, Gondar Zuriya Woreda, Central Gondar Zone.",NO,0,No,No,PLSO,Conflict Oriented,
2024-11-25,,37PCP2171772460,12.4102,37.3599,Amhara,,Central Gonder,Yes,,Yes,Battle,FANO & ENDF,FANO & ENDF,Explosives/Remote Violence,"On Nov 25, 2024 Fresh clashes erupted in the early morning between government forces and Fano fighters in the Wukir Abo area of the Dembiya Woreda, Central Gondar Zone.",NO,0,No,No,PLSO,Conflict Oriented,
2024-11-25,,37PCM4020959987,10.4902,37.5399,Amhara,,East Gojam,Yes,,Yes,Battle,FANO & ENDF,FANO & ENDF,Explosives/Remote Violence,"On Nov 25, 2024 Intense fighting with heavy weaponry continued for a second day between government forces and Fano insurgents in the Kerer area, Machakel Woreda, East Gojjam Zone.",NO,0,No,No,PLSO,Conflict Oriented,
2024-11-25,,37PCM7731625555,10.1803,37.88,Amhara,,East Gojam,Yes,,Yes,Battle,FANO & ENDF,FANO & ENDF,Explosives/Remote Violence,"On Nov 25, 2024 Government security forces clashed with Fano rebels near Amber town in the Aneded Woreda, East Gojjam Zone.",NO,0,No,No,PLSO,Conflict Oriented,
2024-11-25,,37PBQ3135274986,13.3301,36.52,Amhara,,North Gonder,Yes,,Yes,Battle,FANO & ENDF,FANO & ENDF,Explosives/Remote Violence,"On Nov 25, 2024 Fano insurgents launched a sudden attack on government forces in Tesa, West Armachiho Woreda, North Gondar Zone, sparking intense clashes later that day.",NO,0,No,No,PLSO,Conflict Oriented,
2024-11-25,,37PDP1190853254,12.2403,38.1901,Amhara,,South Gonder,Yes,,Yes,Battle,FANO & ENDF,FANO & ENDF,Explosives/Remote Violence,"On Nov 25, 2024 Heavy gunfire erupted near Ebinat town, the administrative center of the Ebinat Woreda, South Gondar Zone.",NO,0,No,No,PLSO,Conflict Oriented,
2024-11-25,,37PDN9235642548,11.2403,38.93,Amhara,,South Wollo,Yes,,Yes,Battle,FANO & ENDF,FANO & ENDF,Explosives/Remote Violence,"On Nov 25, 2024 Intense clashes broke out between government forces and Fano fighters in the Mekdela Woreda, South Wollo Zone.",NO,0,No,No,PLSO,Conflict Oriented,
2024-11-25,,37PCN2445080628,11.5802,37.39,Amhara,,West Gojam,Yes,,Yes,Battle,FANO & ENDF,FANO & ENDF,Explosives/Remote Violence,"On Nov 25, 2024 Fano insurgents launched a surprise attack on government security forces in 14 Kebele, Ephrata area, Bahir Dar, causing casualties and injuries among the troops.",YES,Yes,No,No,PLSO,Conflict Oriented,
2024-11-25,,37PCM2054164500,10.5302,37.36,Amhara,,West Gojam,Yes,,Yes,Battle,FANO & ENDF,FANO & ENDF,Explosives/Remote Violence,"On Nov 25, 2024 Heavy clashes between government security forces and Fano fighters continued in the Yezeleka and Acheboch areas of the Dembecha Zuriya Woreda, West Gojjam Zone, continuing from previous days.",NO,0,No,No,PLSO,Conflict Oriented,
2024-11-25,,37PDK7288699141,9.0387,38.7533,Addis Ababa,,Addis Ababa,No,,Yes,Fire Accident,unknown,Construction company,Miscellaneous,"On November 25, 2024 A fire incident was reported in Addis Ababa, Dejach Wube area at a construction company .Emergency workers are trying to control the fire.(source:-https://www.facebook.com/ayuzehabesha.1999/posts/pfbid02TTek3Kn384rSSUriR3PqTMwP6cF87SHXzzHNvnNPiYZUo5zrFBdtRwke5miVxbhwl media)",yes,Yes,No,No,Media,unknown,
2024-11-25,,37PDM6708330099,10.2231,38.6994,Oromia,,Dera woreda,No,,No,GOE Detention,GOE,Residents,Miscellaneous,"On November 25, 2025, Sixteen residents of the Darra district, North Shewa Zone, Oromia region, have been detained by government security forces after raising concerns to the media about ongoing violence in the area and recent civilian killings allegedly carried out by the Fano militia. (source:- Addis Standard https://addisstandard.com/sixteen-detained-in-oromias-darra-district-after-media-statements-on-violence-and-civilian-killings-as-teens-beheading-sparks-social-media-outrage/ )",No,0,No,No,Media,Politically Oriented,
2024-11-25,,37PBL3129405630,9.0893,36.5554,Oromia,,"Willga Zone/Nekemte,",No,,No,Oromia Regional President security announcement,Regional government,OAL& FANO,Miscellaneous,"On November 26th, Wazema Radio: Oromia Regional President Shimelis Abdisa attributed recent violence in border areas between Oromia and Amhara regions to actions by Fano militias, facilitated in part by the Oromo Liberation Army (OLA). Speaking at the Prosperity Party’s fifth-anniversary celebration in Nekemte, Shimelis claimed the OLA is exploiting Fano's incursions to justify their own operations. He accused the OLA of using these circumstances to incite violence and warned that government forces are prepared to neutralize both groups to restore peace in the affected regions.",No,0,No,No,Media/PLSO,poltical Oriented,
2024-11-25,,37PCM1598031335,10.2301,37.32,Amhara,,East Gojam,Yes,Artillery,Yes,Shelling/Artillery/missile attack,FANO & ENDF,FANO & ENDF,Explosives/Remote Violence,"On Nov 25, 2024 Intense clashes, including artillery shelling, erupted between government forces and Fano rebels in the Debre Elias Woreda, East Gojjam Zone.",NO,0,No,No,PLSO,Conflict Oriented,
2024-11-25,,37PEP2238616482,11.9088,39.2056,Multiple,,Hadiya Zone Gofa Zone & North Wollo,No,,No,Teachers strike,Teachers,GOE,peaceful protest,"On November 25th, 2024 Teachers in various regions of Ethiopia, including North Wollo (Amhara Region), Gofa Zone (South Ethiopia Region), and Hadiya Zone (Central Ethiopia), have gone on strike due to unpaid salaries for October. In North Wollo, multiple primary and secondary schools stopped classes, with some teachers expressing safety concerns following recent drone strikes. The government reportedly stated salaries would not be disbursed until classes resumed.(source Wazema Radio:)",No,0,No,No,Media/PLSO,Economical Oriented,
2024-11-24,,37PEL5813867888,9.6602,39.5299,Amhara,,North Shewa,Yes,Drone,Yes,Drone Strike,ENDF,FANO,Explosives/Remote Violence,"A drone strike near Bezo Primary School in the Kasima Kebele, Debre Berhan Zuriya Woreda, North Shewa Zone, damaged the school, nearby homes, and injured civilians.",YES,YES,Yes,No,PLSO,Conflict Oriented,
2024-11-24,,37PCP4671570111,12.3902,37.59,Amhara,,Central Gonder,No,,Yes,Ambush,FANO & ENDF,FANO & ENDF,Miscellaneous,"On Nov 24, 2024 Fano militants launched a sudden attack on the police station in Maksegnit town, Gondar Zuriya Woreda, Central Gondar Zone. The attack resulted in casualties, and the insurgents captured six Prosperity Party officials along with a police chief.",Yes,Yes,No,No,PLSO,Conflict Oriented,
2024-11-24,,37PBN7420070986,11.4901,36.93,Amhara,,North Gojjam,No,,Yes,Ambush,FANO & ENDF,FANO & ENDF,Miscellaneous,"On Nov 24, 2024 Fano rebels launched a sudden attack on government security forces in Gerchech town, South Mecha Woreda, North Gojjam Zone, resulting in the deaths of four security personnel.",YES,yes,No,No,PLSO,Conflict Oriented,
2024-11-24,,37PEN8282790195,11.6702,39.7599,Amhara,,North Wollo,No,,Yes,Ambush,FANO & ENDF,FANO & ENDF,Miscellaneous,"On Nov 24, 2024Fano insurgents attacked a military camp in Wurgessa town, Habru Woreda, North Wollo Zone, killing several government personnel and seizing weapons. Intense battles continue in the area.",Yes,Yes,No,No,PLSO,Conflict Oriented,
2024-11-24,,37PEP5555903407,11.7902,39.51,Amhara,,North Wollo,No,,Yes,Ambush,FANO & ENDF,FANO & ENDF,Miscellaneous,"On Nov 24, 2024 Fano militants launched a sudden attack on government security forces near AfriCare in the Guba Lafto Woreda, North Wollo Zone, resulting in the deaths of several government personnel.",YES,Yes,No,No,PLSO,Conflict Oriented,
2024-11-24,,37PDN2360949263,11.3002,38.3,Amhara,,South Gonder,No,,Yes,Ambush,FANO & ENDF,FANO & ENDF,Miscellaneous,"On Nov 24, 2024 Fano insurgents attacked government security forces in Tseleyo Jib Asra, Simada Woreda, South Gondar Zone, killing dozens of personnel.",NO,0,No,No,PLSO,Conflict Oriented,
2024-11-24,,37PBP8925694801,12.6101,37.0599,Amhara,,Central Gonder,No,,Yes,Armed Assault,UAGs,Police officers,Miscellaneous,"On Nov 24, 2024 Armed groups launched a sudden attack on a police station in the Chilga Woreda, Central Gondar Zone. The attackers, believed to be from the Qimant community, targeted detainees suspected of being Fano members, allegedly in retaliation for an assault two years ago. The attack resulted in the death of one police officer.",Yes,Yes,No,No,PLSO,Conflict Oriented,
2024-11-24,,37PBL4230796393,9.9102,36.65,Oromia,,East Wellega,No,,Yes,Armed Assault,UAG,Civilian,Miscellaneous,"On Nov 24, 2024 An unidentified armed group opened fire on a passenger bus traveling from Haro Limu Woreda to Nekemte Town near Laga Bishan Gonfa in the Gida Andodoe Kebele.",NO,0,No,No,PLSO,Conflict Oriented,
2024-11-24,,37PDK6282198737,9.035,38.6617,Oromia,,North Shewa &East Shewa,No,,Yes,Assasination,OLA,Government Officials,Miscellaneous,"On Nov 24, 2024 A group known as Aba Torbe, linked to the OLA, killed two police officers, one in Burayu, Sheger City, and the other in Bishoftu, East Shewa.",NO,0,No,No,PLSO,Conflict Oriented,
2024-11-24,,37PBN8254012301,10.9602,37.0101,Amhara,,Awi,Yes,,Yes,Battle,FANO & ENDF,FANO & ENDF,Explosives/Remote Violence,"On Nov 24, 2024 Intense fighting erupted between government forces and Fano rebels on the outskirts of Injibara town, specifically in the Mirgaten area of the Banja Shekudad Woreda, Agew Awi Zone.",NO,0,No,No,PLSO,Conflict Oriented,
2024-11-24,,37PCM4021959986,10.4902,37.54,Amhara,,East Gojam,Yes,,Yes,Battle,FANO & ENDF,FANO & ENDF,Explosives/Remote Violence,"On Nov 24, 2024 Fano forces ambushed government security personnel near Amanuel town, the administrative center of the Machakel Woreda, East Gojjam Zone, resulting in several fatalities among the government forces.",YES,Yes,No,No,PLSO,Conflict Oriented,
2024-11-24,,37PCL3204148311,9.4802,37.47,Oromia,,Horo Guduru,Yes,,Yes,Battle,OLA & ENDF,OLA & ENDF,Explosives/Remote Violence,"On Nov 24, 2024 Intense fighting broke out between the OLA militant group and government security forces in the Biqiltu Fayine Kebele, Guduru Woreda, Horo Guduru Wollega Zone.",NO,0,No,No,PLSO,Conflict Oriented,
2024-11-24,,37PCN9752884729,11.6202,38.06,Amhara,,South Gonder,Yes,,Yes,Battle,FANO & ENDF,FANO & ENDF,Explosives/Remote Violence,"On Nov 24, 2024 Intense clashes erupted between government forces and Fano insurgents in the the Amjaye area of the Este Woreda, South Gondar Zone.",NO,0,No,No,PLSO,Conflict Oriented,
2024-11-24,,37PFL9334621882,9.2402,40.76,Oromia,,West Hararge,Yes,,Yes,Battle,OLA & ENDF,OLA & ENDF,Explosives/Remote Violence,"Intense fighting erupted between the OLA and government forces in the Burasa Tuqa Kebele, Miâ€™eso Woreda, West Hararghe Zone.",Yes,Yes,No,No,PLSO,Conflict Oriented,
2024-11-24,,37PDL1659659089,9.5802,38.24,Amhara,,West Shewa,Yes,,Yes,Battle,OLA & ENDF,FANO & ENDF,Explosives/Remote Violence,"On Nov 24, 2024 Intense fighting broke out between the OLA and government forces in the Deleta Wolkite Kebele, Meta Wolkite Woreda, West Shewa Zone. The clash resulted in the deaths of eight ENDF members and severe injuries to four others.",Yes,YES,No,No,PLSO,Conflict Oriented,
2024-11-24,,36PYR2268579575,9.7603,35.03,Oromia,,West Wellega,No,,Yes,Battle,OLA & ENDF,OLA & ENDF,Miscellaneous/Unclear,"On Nov 24, 2024 Heavy fighting reportedly occurred between the OLA and government forces in the Mena Sibu Woreda, West Wollega. The incident occurred as ENDF troops, traveling in six trucks from Mendi town to Kara Wayu Kebele, came under attack.",Yes,Yes,No,No,PLSO,Conflict Oriented,
2024-11-23,16:00,37PEL5814467892,9.6602,39.53,Amhara,,North Shewa,No,,Yes,Ambush,FANO & ENDF,FANO & ENDF,Miscellaneous,"On Nov 23, 2024 Fano insurgents launched a surprise attack on a military camp in the Wushaushign Kebele, Emye Minilik Sub-City, Debre Birhan City, North Shewa Zone, at around 4:00 PM.",NO,0,No,No,PLSO,Conflict Oriented,
2024-11-23,,36NYP7134955255,7.7302,35.46,Amhara,,Sheka,No,,Yes,Armed Assault,FANO & ENDF,FANO & ENDF,Miscellaneous,"On Nov 23, 2024 Armed attackers killed more than 20 people in the Shera Kebele, Andracha Woreda, Sheka Zone.",NO,0,No,No,PLSO,Conflict Oriented,
2024-11-23,,37PCN7981315123,10.9903,37.8999,Amhara,,East Gojam,No,,Yes,Assasination,FANO & ENDF,FANO & ENDF,Miscellaneous,"On Nov 23, 2024 Fano insurgents carried out a bomb attack targeting government Prosperity Party officials at Natan Hotel in Mota town, Hulet Ej Enese Woreda, East Gojjam Zone.",NO,0,No,No,PLSO,Conflict Oriented,
2024-11-23,,37PDP1190453248,12.2402,38.19,Amhara,,South Gonder,Yes,,Yes,Battle,FANO & ENDF,FANO & ENDF,Explosives/Remote Violence,"On Nov 23, 2024 Clashes between government forces and Fano militants in Embachiko, Ebinat Woreda, South Gondar, resulted in several casualties, including security personnel, two civilians, and one Fano fighter.",Yes,Yes,Yes,Yes,PLSO,Conflict Oriented,
2024-11-23,,37NBH6500706492,6.3872,36.8756,South Ethiopia,,Kore,N/A,,No,GOE Detention,GOE,Teachers,Miscellaneous,"Over 60 teachers have reportedly been arrested in southern Ethiopia for protesting salary cuts imposed without their consent. However, the administration of Sarmale district claims that the teachers were arrested for allegedly inciting protests,:Source:https://borkena.com/2024/11/23/ethiopian-government-arrests-over-60-teachers-in-kore-zone/",No,0,No,No,Media,unknown,
2024-11-23,,37NBH6500706492,6.3872,36.8756,South Ethiopia,,Kore,N/A,,No,GOE Detention,GOE,Teachers,Miscellaneous,"On Nov 23, 2024A severe collision between a public transport vehicle and a Sino truck near Chole Tsebel in Aleltu, North Shewa Zone, Oromia, caused multiple fatalities and injuries.",No,0,No,No,Media,unknown,
2024-11-23,,37PEL7580215947,9.1901,39.69,Oromia,,North Shewa,No,,No,Vehicle Accident,N/A,community,Miscellaneous/Unclear,"Fano rebels ambushed government security forces near Arati while they were traveling from Digo Tsiyon in the Bibugn Woreda to Mota, East Gojjam Zone.",Yes,Yes,Yes,Yes,PLSO,Conflict Oriented,
2024-11-22,,37PCM6335897478,10.8301,37.75,Amhara,,East Gojam,No,,Yes,Ambush,FANO & ENDF,FANO & ENDF,Miscellaneous,"On Nov 22, 2024 Fano militants launched a sudden attack on government forces near Kobo town, the administrative center of the Raya Kobo Woreda, North Wollo Zone, causing significant casualties.",NO,0,No,No,PLSO,Conflict Oriented,
2024-11-22,,37PEP6964538823,12.1102,39.64,Amhara,,North Wollo,No,,Yes,Ambush,FANO & ENDF,FANO & ENDF,Miscellaneous,"On Nov 22, 2024 Fierce clashes erupted between government forces and Fano fighters on November 22nd in the Berehet Woreda, North Shewa Zone.",YES,Yes,No,No,PLSO,Conflict Oriented,
2024-11-22,,37PEL7579015948,9.1902,39.6899,Amhara,,North Shewa,Yes,,Yes,Battle,FANO & ENDF,FANO & ENDF,Explosives/Remote Violence,"On Nov 22, 2024 Intense clashes between government forces and Fano rebels continued in the Fachi area of the Libo Kemkem Woreda, South Gondar Zone, for a second consecutive day.",Yes,0,No,No,PLSO,Conflict Oriented,
2024-11-22,,37PCP6725043456,12.1502,37.7799,Amhara,,South Gonder,Yes,,Yes,Battle,FANO & ENDF,FANO & ENDF,Explosives/Remote Violence,"On Nov 22, 2024 Heavy clashes broke out today between government forces and Fano fighters in the Wurja area of the Legambo Woreda, South Wollo Zone.",NO,0,No,No,PLSO,Conflict Oriented,
2024-11-22,,37PEN1748300525,10.8602,39.16,Amhara,,South Wollo,Yes,,No,Battle,FANO & ENDF,FANO & ENDF,Explosives/Remote Violence,"On Nov 22, 2024 Heavy clashes erupted between government security forces and Fano insurgents in the Dembecha Zuriya and Jan Bitenah woredas in the West Gojjam Zone.",NO,0,No,No,PLSO,Conflict Oriented,
2024-11-22,,37PEL7580315967,9.1903,39.69,Amhara,,West Gojam,Yes,,Yes,Battle,FANO & ENDF,FANO & ENDF,Explosives/Remote Violence,"On November 22, 2024, at 0700 hours in the AM, one of the Global Bank Ayat Branch Security Guard shot and killed two Ayat 40/60 Condominium security guards in Lemi Kura Sub-city Ayat 40/60 Condominium area. The killer attmpted to commit suicide and sustained injury from gunshot on his chest and was taken to the hospital. The cause of the conflict is a disagreements between the bank guard and building guards. The case is under police investigation.( Source Media/FSNI)",No,0,No,No,PLSO,Conflict Oriented,
2024-11-22,7:00,37PDK8711596021,9.0106,38.8828,Addis Ababa,,Addis Ababa,No,,Yes,Shooting,Global Bank Security Guard,Condominium House Security Guard,Miscellaneous,"On Nov 21, 2024 A drone strike targeted the Chingwa and Doshit Kebeles in Mekdela Woreda, South Wollo Zone, resulting in the destruction of a school and a civilian residence.",No,0,No,No,Media/FSNI,Crime Oriented,
2024-11-21,,37PDN9235242534,11.2402,38.9299,Amhara,,South Wollo,Yes,Drone,Yes,Drone Strike,FANO & ENDF,FANO & ENDF,Explosives/Remote Violence,"On Nov 21, 2024 Fano insurgents ambushed government security forces in Mestawot, a locality in Sinan Woreda, East Gojjam Zone. The attack led to the deaths of several government security personnel.",NO,0,No,No,PLSO,conflict Oriented,
2024-11-21,5:00,37PCM6542466504,10.5501,37.77,Amhara,,East Gojam,No,,Yes,Ambush,FANO & ENDF,FANO & ENDF,Miscellaneous,"On Nov 21, 2024 Government security forces transporting detainees from Mekane Yesus town in Este Woreda to Debre Tabor City in the South Gondar Zone were ambushed by Fano rebels. The attack led to casualties among the security personnel, and several prisoners managed to escape.",NO,0,No,No,PLSO,conflict Oriented,
2024-11-21,,37PCN9753084718,11.6201,38.06,Amhara,,South Gonder,No,,Yes,Ambush,FANO & ENDF,FANO & ENDF,Miscellaneous,"On Nov 21, 2024 Heavy clashes erupted today between government security forces and Fano fighters in Alefa Woreda, Central Gondar Zone, triggered major casualties on both sides.",Yes,0,No,No,PLSO,conflict Oriented,
2024-11-21,,37PBP5387120951,11.9403,36.7401,Amhara,,Central Gonder,Yes,,Yes,Battle,FANO & ENDF,FANO & ENDF,Explosives/Remote Violence,"On Nov 21, 2024 Heavy clashes between government security forces and Fano militants have erupted for a second consecutive day, starting at 11:00 AM, in the Ambo Meda area of Libo Kemkem Woreda, South Gondar Zone.",Yes,0,No,No,PLSO,conflict Oriented,
2024-11-21,11:19,37PCP6725043443,12.1501,37.7799,Amhara,,South Gonder,Yes,,Yes,Battle,FANO & ENDF,FANO & ENDF,Explosives/Remote Violence,"On Nov 21, 2024 Intense clashes have erupted between government security forces and Fano rebels in Embachiko, located in Ebnat Woreda, South Gondar Zone.",NO,0,No,No,PLSO,conflict Oriented,
2024-11-21,,37PDP1189753237,12.2401,38.19,Amhara,,South Gonder,Yes,,Yes,Battle,FANO & ENDF,FANO & ENDF,Explosives/Remote Violence,"On Nov 21, 2024 Heavy clashes between government forces and Fano insurgents in Tach Gayint, South Gondar, continued, involving heavy weapons and explosives. Casualties include Engineer Alebachew Worash, a Fano leader, and many fighters. Fano captured dozens of government personnel.",NO,0,No,No,PLSO,conflict Oriented,
2024-11-21,,37PDN5203277961,11.5602,38.5601,Amhara,,South Gonder,Yes,,Yes,"Remote violence/landmine, IED",FANO & ENDF,FANO & ENDF,Explosives/Remote Violence,"On Nov 20, 2024 Following an ambush attack, fresh fighting erupted between government security forces and Fano rebels, involving the use of heavy weaponry. The clashes intensified in the Gondar Zuriya Woreda, continuing throughout the day.",Yes,0,No,No,PLSO,conflict Oriented,
2024-11-20,,37PCP4671170109,12.3902,37.5899,Amhara,,Central Gonder,No,,Yes,Ambush,FANO & ENDF,FANO & ENDF,Miscellaneous,"On Nov 20, 2024An ambush attack occurred at 5:00 AM in the Arbayitu and Shiha Gomengiya areas of the Gondar Zuriya Woreda, Central Gondar Zone. Fano insurgents targeted government security forces, resulting in the capture of dozens of personnel and significant casualties, including many killed and injured.",NO,0,No,No,PLSO,conflict Oriented,
2024-11-20,,37PCP4671770106,12.3902,37.59,Amhara,,Central Gonder,No,,Yes,Ambush,FANO & ENDF,FANO & ENDF,Miscellaneous,"On Nov 20, 2024Fano insurgents conducted a sudden attack in Gondar, resulting in injuries to police officers and the release of dozens of prisoners being transported from prison to court.",Yes,0,No,No,PLSO,conflict Oriented,
2024-11-20,,37PCP3271793421,12.6003,37.46,Amhara,,Central Gonder,No,,Yes,Ambush,FANO & ENDF,FANO & ENDF,Miscellaneous,"On Nov 20, 2024 Armed individuals identifying themselves as Fano carried out a violent attack in the Selalkula Kebele, Dera Woreda, North Shewa Zone. The attackers targeted numerous residents in a brutal assault based on their identity. The exact number of victims remains unknown. The perpetrators entered residents' homes and committed atrocities using crude weapons.",NO,0,No,No,PLSO,conflict Oriented,
